wnum_cm-1,wavelength_um,freq_Hz,freq_GHz,n,k,R,D
0.96,12923.963,28780075968.0,28.780075968,0.505,6.92,0.9597219819775809,0.04027801802241915
0.94,13198.94,28180491052.0,28.180491052,0.515,7.06,0.9604900954327221,0.039509904567277876
0.92,13485.874,27580906136.0,27.580906136,0.525,7.21,0.9613328920372917,0.038667107962708336
0.9,13785.56,26981321220.0,26.98132122,0.536,7.36,0.9620724947467575,0.03792750525324251
0.88,14098.868,26381736304.0,26.381736304,0.547,7.53,0.9629743127187178,0.037025687281282194
0.86,14426.749,25782151388.0,25.782151388,0.559,7.7,0.9637721553077333,0.0362278446922667
0.84,14770.243,25182566472.0,25.182566472,0.572,7.88,0.9645631641773734,0.03543683582262658
0.82,15130.493,24582981556.0,24.582981556,0.586,8.06,0.9652632650313885,0.034736734968611516
0.8,15508.755,23983396640.0,23.98339664,0.606,8.26,0.9657660172811564,0.03423398271884359
0.78,15906.415,23383811724.0,23.383811724,0.627,8.47,0.9662848978025751,0.03371510219742491
0.76,16325.005,22784226808.0,22.784226808,0.649,8.69,0.9668180480317957,0.03318195196820428
0.74,16766.222,22184641892.0,22.184641892,0.672,8.92,0.9673635836650074,0.03263641633499259
0.72,17231.95,21585056976.0,21.585056976,0.697,9.16,0.9678747841126151,0.03212521588738493
0.7,17724.291,20985472060.0,20.98547206,0.723,9.41,0.9683992547425349,0.031600745257465146
0.68,18245.594,20385887144.0,20.385887144,0.752,9.68,0.9689165979414852,0.031083402058514786
0.66,18798.491,19786302228.0,19.786302228,0.782,9.97,0.9695056634066324,0.030494336593367644
0.64,19385.944,19186717312.0,19.186717312,0.815,10.3,0.9701967994013763,0.029803200598623736
0.62,20011.297,18587132396.0,18.587132396,0.85,10.6,0.9706345950381102,0.029365404961889774
0.6,20678.34,17987547480.0,17.98754748,0.89,11.0,0.9714221723804929,0.028577827619507112
0.58,21391.386,17387962564.0,17.387962564,0.933,11.3,0.9716038979021955,0.02839610209780452
0.56,22155.364,16788377648.000002,16.788377648,0.98,11.8,0.9726181262416144,0.027381873758385633
0.54,22975.933,16188792732.000002,16.188792732000003,1.03,12.2,0.9730650120390243,0.02693498796097571
0.52,23859.623,15589207816.0,15.589207816,1.09,12.7,0.9736807315790778,0.02631926842092225
0.5,24814.008,14989622900.0,14.9896229,1.15,13.2,0.9742819204696346,0.025718079530365423
0.48,25847.925,14390037984.0,14.390037984,1.22,13.7,0.974664933360468,0.025335066639532
0.46,26971.748,13790453068.0,13.790453068,1.29,14.4,0.975729536730477,0.02427046326952298
0.44,28197.736,13190868152.0,13.190868152,1.37,15.0,0.9762376478046493,0.023762352195350722
0.42,29540.486,12591283236.0,12.591283236,1.47,15.7,0.9767212516365396,0.023278748363460444
0.4,31017.51,11991698320.0,11.99169832,1.59,16.5,0.9772008771209726,0.02279912287902741
0.38,32650.011,11392113404.0,11.392113404,1.73,17.4,0.9776927394057435,0.022307260594256473
0.36,34463.9,10792528488.0,10.792528488,1.9,18.4,0.9780960889990489,0.021903911000951126
0.34,36491.188,10192943572.0,10.192943572,2.09,19.6,0.9787659944004201,0.021234005599579886
0.32,38771.888,9593358656.0,9.593358656,2.32,20.8,0.9790831947895516,0.020916805210448364
