Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Ex_real,Ey_real,Ez_real,Ex_imag,Ey_imag,Ez_imag
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.7e-05,-5.999293467589133e-19,-1.4853831464244275e-18,8.023105512081448e-21,-4.61376281886048e-21,2.200133093946658e-20,1.6436746246872097e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.6000000000000003e-05,-5.997991045115903e-19,-1.4848681688274942e-18,8.733978712880753e-21,-4.9771978698676794e-21,2.497589255276929e-20,1.963585272086857e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.5000000000000002e-05,-5.996798060414783e-19,-1.484450044852036e-18,9.44558115060797e-21,-5.362234463206125e-21,2.7952864343357717e-20,2.2517538011228805e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.4000000000000001e-05,-5.995714513485765e-19,-1.4841287744980505e-18,1.0157912825263093e-20,-5.76887259887582e-21,3.093224631123186e-20,2.5081802117952737e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.3000000000000001e-05,-5.994740404328851e-19,-1.483904357765538e-18,1.0870973736846125e-20,-6.197112276876763e-21,3.3914038456391696e-20,2.7328645041040388e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.2000000000000002e-05,-5.993875732944037e-19,-1.4837767946544992e-18,1.1584763885357051e-20,-6.6469534972089485e-21,3.6898240778837224e-20,2.9258066780491705e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.1000000000000001e-05,-5.993120499331327e-19,-1.4837460851649327e-18,1.2299283270795887e-20,-7.118396259872391e-21,3.988485327856847e-20,3.0870067336306703e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.0000000000000003e-05,-5.992474703490725e-19,-1.4838122292968412e-18,1.3014531893162635e-20,-7.611440564867076e-21,4.2873875955585433e-20,3.216464670848548e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-9.000000000000002e-06,-5.991938345422221e-19,-1.4839752270502214e-18,1.373050975245727e-20,-8.126086412193005e-21,4.586530880988806e-20,3.3141804897027884e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-8.000000000000001e-06,-5.991511425125829e-19,-1.4842350784250772e-18,1.444721684867984e-20,-8.662333801850188e-21,4.8859151841476457e-20,3.38015419019341e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-7.000000000000001e-06,-5.991193942601533e-19,-1.4845917834214042e-18,1.5164653181830287e-20,-9.220182733838612e-21,5.185540505035048e-20,3.414385772320393e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-6.0000000000000035e-06,-5.9909858978493435e-19,-1.4850453420392052e-18,1.5882818751908646e-20,-9.799633208158282e-21,5.485406843651023e-20,3.416875236083748e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-5.000000000000003e-06,-5.990887290869257e-19,-1.4855957542784797e-18,1.6601713558914912e-20,-1.0400685224809209e-20,5.78551419999557e-20,3.38762258148347e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-4.000000000000002e-06,-5.990898121661275e-19,-1.4862430201392278e-18,1.7321337602849088e-20,-1.1023338783791377e-20,6.085862574068689e-20,3.326627808519569e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-3.0000000000000018e-06,-5.991018390225399e-19,-1.4869871396214492e-18,1.8041690883711168e-20,-1.1667593885104793e-20,6.386451965870376e-20,3.233890917192036e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-2.000000000000001e-06,-5.991248096561621e-19,-1.487828112725143e-18,1.8762773401501142e-20,-1.233345052874946e-20,6.687282375400633e-20,3.1094119075008646e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-1.0000000000000006e-06,-5.991587240669952e-19,-1.4887659394503113e-18,1.9484585156219037e-20,-1.3020908714725368e-20,6.98835380265946e-20,2.9531907794460763e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,-3.3881317890172014e-21,-5.992035822550384e-19,-1.4898006197969524e-18,2.020712614786482e-20,-1.3729968443032527e-20,7.289666247646858e-20,2.7652275330276508e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,9.999999999999972e-07,-5.992593842202918e-19,-1.4909321537650666e-18,2.0930396376438517e-20,-1.446062971367094e-20,7.591219710362825e-20,2.5455221682455934e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.999999999999998e-06,-5.993261299627562e-19,-1.4921605413546554e-18,2.165439584194013e-20,-1.5212892526640596e-20,7.89301419080737e-20,2.2940746850999146e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,2.9999999999999984e-06,-5.994038194824302e-19,-1.4934857825657156e-18,2.2379124544369626e-20,-1.5986756881941492e-20,8.195049688980473e-20,2.0108850835905957e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,3.999999999999999e-06,-5.99492452779315e-19,-1.4949078773982504e-18,2.310458248372704e-20,-1.6782222779573642e-20,8.497326204882155e-20,1.695953363717656e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,4.999999999999996e-06,-5.995920298534098e-19,-1.4964268258522575e-18,2.3830769660012346e-20,-1.759929021953703e-20,8.7998437385124e-20,1.3492795254810794e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,6e-06,-5.997025507047157e-19,-1.49804262792774e-18,2.4557686073225584e-20,-1.8437959201831687e-20,9.102602289871226e-20,9.708635688808813e-22
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,6.999999999999997e-06,-5.998240153332559e-19,-1.4997552836247437e-18,2.5285331723366736e-20,-1.929822972645712e-20,9.405601858958632e-20,5.607054939176904e-22
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,7.999999999999995e-06,-6.017582458490229e-19,-1.499681303429456e-18,2.4073740506624833e-20,-1.7954960992299346e-20,9.326532630172984e-20,1.691732093836582e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,8.999999999999999e-06,-6.038038746924514e-19,-1.4996377594298148e-18,2.2895492981803336e-20,-1.6614250813316064e-20,9.243499213384331e-20,2.8102785509837695e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,9.999999999999996e-06,-6.059609018635182e-19,-1.49962465162577e-18,2.1750589148901232e-20,-1.5276099189506612e-20,9.156501608592466e-20,3.916344865359396e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.1e-05,-6.0822932736222295e-19,-1.4996419800173215e-18,2.0639029007918488e-20,-1.3940506120870952e-20,9.065539815797384e-20,5.009931036963485e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.1999999999999997e-05,-6.106091511885657e-19,-1.4996897446044687e-18,1.9560812558855127e-20,-1.260747160740912e-20,8.970613834999086e-20,6.091037065796015e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.2999999999999994e-05,-6.131003733425466e-19,-1.4997679453872124e-18,1.851593980171114e-20,-1.1276995649121094e-20,8.871723666197573e-20,7.159662951856998e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.3999999999999998e-05,-6.157029938241652e-19,-1.4998765823655516e-18,1.7504410736486526e-20,-9.94907824600688e-21,8.76886930939284e-20,8.215808695146431e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.4999999999999995e-05,-6.18417012633422e-19,-1.5000156555394865e-18,1.652622536318129e-20,-8.623719398066483e-21,8.662050764584892e-20,9.259474295664308e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.6e-05,-6.212424297703168e-19,-1.5001851649090177e-18,1.558138368179542e-20,-7.300919105299889e-21,8.551268031773727e-20,1.0290659753410643e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.6999999999999996e-05,-6.241792452348496e-19,-1.5003851104741451e-18,1.466988569232894e-20,-5.980677367707118e-21,8.436521110959346e-20,1.1309365068385422e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.7999999999999994e-05,-6.272274590270202e-19,-1.5006154922348682e-18,1.3791731394781825e-20,-4.662994185288162e-21,8.31781000214175e-20,1.231559024058864e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.8999999999999998e-05,-6.303870711468294e-19,-1.5008763101911878e-18,1.2946920789154087e-20,-3.3478695580430068e-21,8.195134705320937e-20,1.3309335270020321e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,1.9999999999999995e-05,-6.336580815942759e-19,-1.5011675643431023e-18,1.2135453875445727e-20,-2.035303485971677e-21,8.068495220496905e-20,1.4290600156680438e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,2.1e-05,-6.370404903693607e-19,-1.5014892546906139e-18,1.1357330653656735e-20,-7.252959690741485e-22,7.937891547669657e-20,1.5259384900569015e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,2.1999999999999996e-05,-6.405342974720838e-19,-1.5018413812337212e-18,1.0612551123787129e-20,5.821529926495587e-22,7.803323686839196e-20,1.6215689501686043e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,2.3e-05,-6.441395029024444e-19,-1.5022239439724244e-18,9.901115285836887e-21,1.8870433991994573e-21,7.664791638005516e-20,1.7159513960031515e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,2.3999999999999997e-05,-6.478561066604433e-19,-1.5026369429067232e-18,9.223023139806034e-21,3.1893752505755382e-21,7.522295401168618e-20,1.809085827560543e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0049,2.4999999999999994e-05,-6.516841087460921e-19,-1.503080378036653e-18,8.578274685694488e-21,4.489148546777066e-21,7.375834976328856e-20,1.9009722448407776e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0048000000000000004,-2.5e-05,-1.7036664711755229e-18,-2.0410669608359725e-18,5.439162100490459e-21,5.814956734094501e-21,-4.884232471978626e-20,-1.1519926646577313e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0048000000000000004,-2.4e-05,-1.7023898364664322e-18,-2.0397169328302825e-18,4.774761196400571e-21,7.030287221923186e-21,-4.8139813027398425e-20,-9.770229867389774e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.0048000000000000004,-2.3e-05,-1.7011241455345011e-18,-2.038463758445993e-18,4.111089529239266e-21,8.224016167418793e-21,-4.7434891157725086e-20,-8.052275206568466e-21
